iter	Passed	Remaining
795	43854	66332
796	43927	66304
797	44014	66297
798	44075	66251
799	44128	66192
800	44203	66167
801	44255	66107
802	44311	66054
803	44373	66008
804	44443	65974
805	44503	65926
806	44574	65895
807	44648	65866
808	44705	65814
809	44784	65794
810	44866	65778
811	44924	65727
812	44987	65682
813	45074	65674
814	45142	65636
815	45223	65618
816	45304	65600
817	45371	65561
818	45430	65511
819	45503	65480
820	45576	65450
821	45649	65419
822	45710	65371
823	45791	65352
824	45851	65303
825	45930	65281
826	45998	65243
827	46076	65219
828	46146	65184
829	46226	65162
830	46304	65138
831	46362	65085
832	46448	65072
833	46516	65034
834	46583	64993
835	46646	64947
836	46725	64925
837	46801	64896
838	46875	64866
839	46945	64829
840	47024	64805
841	47079	64748
842	47143	64703
843	47214	64668
844	47274	64617
845	47332	64565
846	47387	64507
847	47449	64460
848	47536	64445
849	47612	64417
850	47681	64377
851	47739	64325
852	47817	64298
853	47884	64257
854	47955	64221
855	48016	64171
856	48075	64118
857	48137	64070
858	48200	64023
859	48256	63968
860	48326	63930
861	48392	63887
862	48463	63850
863	48532	63810
864	48600	63770
865	48663	63723
866	48719	63666
867	48777	63613
868	48854	63584
869	48929	63551
870	49002	63517
871	49062	63466
872	49145	63444
873	49230	63425
874	49293	63377
875	49356	63329
876	49429	63294
877	49502	63260
878	49584	63235
879	49666	63212
880	49736	63172
881	49792	63115
882	49860	63074
883	49926	63029
884	49985	62975
885	50053	62934
886	50131	62904
887	50186	62846
888	50246	62794
889	50303	62737
890	50356	62677
891	50438	62652
892	50509	62613
893	50571	62563
894	50633	62514
895	50705	62476
896	50764	62422
897	50817	62361
898	50894	62330
899	50966	62291
900	51026	62239
901	51082	62182
902	51166	62159
903	51227	62107
904	51282	62048
905	51357	62014
906	51420	61965
907	51476	61907
908	51532	61850
909	51594	61800
910	51656	61749
911	51719	61700
912	51777	61645
913	51836	61591
914	51893	61534
915	51952	61480
916	52006	61420
917	52075	61379
918	52155	61349
919	52223	61306
920	52282	61252
921	52336	61191
922	52398	61140
923	52452	61081
924	52536	61056
925	52610	61019
926	52685	60983
927	52770	60959
928	52852	60931
929	52915	60880
930	52982	60835
931	53047	60787
932	53110	60738
933	53170	60685
934	53259	60664
935	53327	60620
936	53400	60581
937	53471	60540
938	53557	60516
939	53627	60473
940	53698	60432
941	53754	60373
942	53832	60340
943	53911	60307
944	53971	60253
945	54027	60195
946	54083	60137
947	54140	60080
948	54198	60024
949	54258	59970
950	54319	59917
951	54394	59879
952	54465	59838
953	54527	59785
954	54607	59753
955	54685	59719
956	54743	59663
957	54809	59614
958	54880	59573
959	54936	59514
960	54993	59456
961	55069	59419
962	55133	59370
963	55202	59325
964	55266	59275
965	55336	59231
966	55408	59190
967	55482	59150
968	55542	59096
969	55616	59056
970	55675	59001
971	55740	58951
972	55808	58906
973	55868	58850
974	55938	58807
975	56012	58767
976	56074	58714
977	56138	58663
978	56195	58606
979	56257	58554
980	56328	58510
981	56398	58466
982	56476	58430
983	56554	58393
984	56636	58361
985	56691	58301
986	56764	58259
987	56835	58215
988	56905	58171
989	56978	58129
990	57055	58092
991	57128	58049
992	57188	57994
993	57250	57942
994	57308	57884
995	57366	57826
996	57425	57771
997	57500	57730
998	57575	57690
999	57649	57649
1000	57713	57598
1001	57783	57552
1002	57848	57502
1003	57926	57464
1004	57983	57406
1005	58050	57357
1006	58124	57316
1007	58204	57280
1008	58279	57239
1009	58344	57189
1010	58410	57139
1011	58510	57123
1012	58573	57070
1013	58642	57022
1014	58707	56972
1015	58768	56917
1016	58859	56891
1017	58923	56839
1018	58987	56788
1019	59045	56730
1020	59102	56671
1021	59179	56631
1022	59237	56573
1023	59307	56527
1024	59366	56470
1025	59436	56423
1026	59492	56364
1027	59565	56320
1028	59620	56260
1029	59674	56197
1030	59733	56141
1031	59804	56095
1032	59877	56052
1033	59934	55992
1034	60009	55951
1035	60072	55897
1036	60134	55843
1037	60190	55783
1038	60244	55722
1039	60314	55675
1040	60389	55632
1041	60448	55575
1042	60506	55517
1043	60589	55482
1044	60647	55424
1045	60706	55367
1046	60778	55321
1047	60856	55282
1048	60915	55224
1049	60977	55169
1050	61041	55117
1051	61096	55056
1052	61156	55000
1053	61235	54960
1054	61303	54911
1055	61358	54850
1056	61414	54790
1057	61478	54737
1058	61562	54703
1059	61620	54644
1060	61681	54589
1061	61732	54524
1062	61805	54479
1063	61869	54426
1064	61949	54387
1065	62004	54326
1066	62086	54289
1067	62145	54232
1068	62202	54172
1069	62272	54125
1070	62337	54072
1071	62398	54016
1072	62466	53966
1073	62529	53913
1074	62600	53865
1075	62670	53817
1076	62743	53771
1077	62823	53731
1078	62882	53674
1079	62965	53636
1080	63027	53582
1081	63079	53518
1082	63145	53466
1083	63208	53412
1084	63267	53354
1085	63324	53295
1086	63386	53240
1087	63443	53180
1088	63498	53119
1089	63554	53058
1090	63619	53006
1091	63690	52959
1092	63760	52910
1093	63836	52866
1094	63896	52809
1095	63967	52761
1096	64025	52702
1097	64091	52651
1098	64148	52591
